recode_id,claim_id,paper_id_blinded,claim_text,local_context,metric_text,baseline_a_text,baseline_b_text,problem_scope_text,artifact_context,code_claim_inclusion,code_claim_card_specifiable,code_comparator_pair_identifiable,code_metric_measurable,code_relation_type,code_scalar_directional,code_planning_feasible,code_materialization_tier,code_proxy_free_exact_eligible,code_missing_evidence_category,coder_notes
R072,EIRR072,BP064,"ParitySynth and Steiner-GraySynth are an order of magnitude faster than Qiskit and TKET, even though the additional iterations of Reverse Traversal increased the normal runtime by 10 fold.","Paper-local location: Page 24, The look-ahead scheme increases the compiler runtime slightly with respect, character 37079",compiler runtime,ParitySynth/Steiner-GraySynth,Qiskit/TKET,large circuit compilation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R073,EIRR073,BP056,The 2-round QAOA results had better average energy compared the 1-round results in 6 out of the 10 problem instances.,Paper-local location: QAOA depth results,average_energy,2-round QAOA,1-round QAOA,higher-order Ising QAOA,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R074,EIRR074,BP072,"As shown in Figure 14, the effect for quantum depth is similar, but even more pronounced; on average, optimization offers no depth reduction for basis-encoded circuits, while it reduces the average quantum depth of angle- and improved angle-encoded circuits by 99% in both cases.",Paper-local location: Optimization-depth results,quantum_depth_reduction,optimized angle/improved-angle encoding,optimized basis encoding,automated subcircuit synthesis,,,,,,,,,,,,
R075,EIRR075,BP110,"In CH, a function used in SHA-256, requires 32.3% less pulses to run on a t-triangle topology as compared to a s-triangle one.",Paper-local location: Local text character 39345,pulse count,t-triangle topology,s-triangle topology,CH/SHA-256 neutral-atom benchmark,,,,,,,,,,,,
R076,EIRR076,BP105,"In contrast, while the two-qubit gate depth is worse than Qiskit for BQSKit and Staq, Tket outperforms Qiskit overall, with prominent gains for more connected topologies.",Paper-local location: Local text character 27805,2Q gate depth,Tket,Qiskit,transpilation resource benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R077,EIRR077,BP111,"Quadratization (QUBO) requires fewer ancilla qubits and two-qubit gates compared to the other two methods, as the constraints are embedded into the objective function through penalty terms.",Paper-local location: Resource results,ancilla_qubits_and_two_qubit_gates,QUBO encoding,penalty dephasing/Zeno encoding,constraint encoding for QAOA,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R078,EIRR078,BP107,"For the two small problems, the complete graph N = 7 and the 4-regular graph N = 8, the Parity QAOA circuit has a depth 5 times smaller than the vanilla QAOA circuit.","Paper-local location: Page 13, The number of copies K/N depends on the qubit overhead of Parity QAOA which depends on the number of, character 58557",circuit depth,Parity QAOA,vanilla QAOA,small signed Max-Cut instances,,,,,,,,,,,,
R079,EIRR079,BP064,"For small circuits, TKET is the best compiler, but for larger circuits, ParitySynth and Steiner-GraySynth generated fewer CNOTs.","Paper-local location: Page 24, The differences in CNOT count and compiler runtime for the DAG-based, character 36341",CNOT gate count,ParitySynth/Steiner-GraySynth on larger circuits,TKET on larger circuits,quantum circuit compilation by circuit size,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R080,EIRR080,BP098,This is why the accuracy of this method is lower compared to the exact result and GA-VQA method.,"Paper-local location: Page 11, Figure 4(b,c), the AVQDS method is not trainable at, character 40114",accuracy,GA-VQA method,AVQDS method at relaxed L2 cut,time-dependent Hamiltonian simulation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R081,EIRR081,BP050,Our optimized Toﬀoli gate implementation demonstrates an 18% reduction in inﬁdelity compared with the canonical implementation as benchmarked on IBM Jakarta with quantum process tomography.,"Paper-local location: Page 1, IBMQ native gate set, the methods presented are generalizable to any gate and superconducting qubit, character 1271",infidelity,optimized Toffoli implementation,canonical Toffoli implementation,Toffoli gate implementation on IBM Jakarta,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R082,EIRR082,BP071,"Compared to standard ADAPT-QAOA, Dynamic-ADAPT-QAOA can achieve a better max-cut approximation ratio than the classical GW algorithm at roughly an order of magnitude larger values of p⋆ gate.",Paper-local location: Noise resilience results,critical_gate_error_probability,Dynamic-ADAPT-QAOA,standard ADAPT-QAOA,MaxCut under gate noise,,,,,,,,,,,,
R083,EIRR083,BP079,Atomique is 1000 × faster in compilation than a solver-based [75] compiler with similar fidelity.,"Paper-local location: Page 2, Subsequently, at a more fine-grained level, we propose a, character 11386",compilation time,Atomique,solver-based compiler,neutral-atom compiler runtime,,,,,,,,,,,,
R084,EIRR084,BP007,"In most cases the rate of convergence also becomes better, sometimes even exponentially faster after passing this threshold.",Paper-local location: local text scout; exact sentence span in paper_texts,convergence rate / optimization landscape quality,over-parameterized HVA regime,under-parameterized HVA regime,HVA over-parameterization transition,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R085,EIRR085,BP064,"Qiskit and TKET have a similar runtime, where TKET is slightly slower with much better CNOT counts.","Paper-local location: Page 24, Steiner-GraySynth are an order of magnitude faster than Qiskit and TKET,, character 37268",CNOT gate count,TKET,Qiskit,DAG-based quantum compilation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R086,EIRR086,BP115,"Furthermore, we conduct numerical experiments for our method on the same benchmark instances as for the Copula-QAOA and demonstrate that our method is able to provide higher approximation ratios on a consistent level, that is, without the drop in quality for instance sizes above ten.","Paper-local location: Page 2, QTG as Grover-like mixer converges towards the optimum as, character 6356",approximation ratio,QTG-based AAM-QAOA,Copula-QAOA,knapsack QAOA benchmarks,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R087,EIRR087,BP006,"In some cases, TriQ has slightly better fidelity results by leveraging larger depths.",Paper-local location: Boundary candidate,fidelity,TriQ,TB-OLSQ / OLSQ-family layout synthesis,transition-based layout synthesis fidelity exception cases,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R088,EIRR088,BP049,"Secondly, the simulated trajectories are consistently slower than the measured trajectories; e.g. at ξ = 0.01 Φ0, the simulated trajectories are slower by a factor of 3.5 than the measured trajectory, which included a 13 ns √ iSW AP -like entangling gate.",Paper-local location: Local text character 52406,trajectory speed,measured Cartan trajectories,simulated Cartan trajectories,nonstandard two-qubit Cartan trajectory simulation,,,,,,,,,,,,
R089,EIRR089,BP074,"The SW AP count increase quadratically with the Cirq router, but just linearly with Superstaq’s router, as expected.",Paper-local location: Routing results,swap_count_scaling,Superstaq router,Cirq router,star-to-line routing,,,,,,,,,,,,
R090,EIRR090,BP069,"Taking into account that the (Pauli-)X gate and CNOT in the circuit commute, the schedule shown in Fig. 3(C) would be a better schedule, since it represents the same quantum circuit and is shorter in time.",Paper-local location: worksheet Stage 3 accepted claim,schedule time / schedule length,Fig. 3(C) PPO-found schedule with commutation rules,Fig. 3(B) ALAP schedule without commutation rules,quantum circuit scheduling for the Fig. 3 two-qubit circuit,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R091,EIRR091,BP065,"When using a quantum circuit simulator however, the wallclock times for the PUBO formulations showed much better results, most probably because of the lower number of qubits that need to be simulated.",Paper-local location: Results,simulation_wallclock_time,PUBO formulation,QUBO formulation,continuous optimization with QAOA,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R092,EIRR092,BP079,"19 shows that although Q-Pilot has less depth than Atomique, Atomique has better overall fidelity, showing a better balance between depth, two-qubit gates, and atom movement.","Paper-local location: Page 10, In the latter case, the SMT formulation is relaxed in a, character 47609",overall fidelity,Atomique,Q-Pilot,neutral-atom application-specific compilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R093,EIRR093,BP065,"Examining figures 5b and 5c, we can see that the PUBO approach consistently outperforms the QUBO approach for higher order functions, as the expected value, the median and the overall variance are significantly lower for PUBO.","Paper-local location: Results, Figures 5b/5c",solution_quality,PUBO approach,QUBO approach,continuous optimization with QAOA,,,,,,,,,,,,
R094,EIRR094,BP038,We found that Pytket with the backend implemented in C++ showed the best runtime performance.,Paper-local location: worksheet Stage 3 accepted claim,runtime performance,Pytket C++ backend,Qiskit/PyZX/Cirq Python implementations,compiler runtime on random circuits,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R095,EIRR095,BP105,Results worth highlighting include Cirq's performance at constructing a set of Hamiltonian simulation circuits (test_DTC100_set_build) in a time 55x faster than the nearest competitor Qiskit.,Paper-local location: Local text character 15252,construction time,Cirq,Qiskit / nearest competitor,Hamiltonian simulation circuit construction benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R096,EIRR096,BP073,"Exponential saving on input state copies: To achieve arbitrarily precise estimates of all function evaluations that one encounters during an iterative optimization of the said VQA cost function, AISO consumes exponentially fewer copies of the input state compared to standard VQA, allowing one to do more iterations, achieve better approximations, and carry out extensive hyperparameter tuning.",Paper-local location: local text scout; exact sentence span in paper_texts,input-state copies / quantum resources,AISO,standard VQA,VQA training with shallow shadows,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R097,EIRR097,BP093,"This leads to an interesting behavior, for instance, at p = 3 the approximation ratio is the same as that at p = 40 for the 109-qubit case, despite the latter requiring roughly 13 times more time and 2-qubit gates than the former.",Paper-local location: 109-qubit depth/resource results,time_and_two_qubit_gates_at_same_ratio,LR-QAOA p=3,LR-QAOA p=40,109-qubit WMaxCut,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R098,EIRR098,BP012,Our methods give less CNOT-count compared to Qiskit and TKET transpiler as well as using SWAP gates.,Paper-local location: Results,cnot_count,CNOT-OPT methods,Qiskit/TKET/SWAP methods,Clifford+T circuit CNOT optimization,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R099,EIRR099,BP091,Small-depth QUBO QAOA performs worst but increases considerably with depth p.,Paper-local location: Local text character 51198,performance,XY/HOBO approaches,small-depth QUBO QAOA,TSP QAOA formulations at small depth,,,,,,,,,,,,
R100,EIRR100,BP063,"Fully-explicit function representations not only result in increased circuit complexity, but also in increased time-to-synthesis, which is again higher for TBS than for ESOP.","Paper-local location: Page 13, 5.2 Oracles for benchmark functions, character 50390",time-to-synthesis,ESOP synthesis,TBS synthesis,oracle synthesis from explicit function representations,,,,,,,,,,,,
R101,EIRR101,BP010,"Since we use ﬁve training points, optnl-meta-VQE becomes cheaper when more than 20 test points are required.",Paper-local location: local text scout; exact sentence span in paper_texts,cost after more than 20 test points,optnl-meta-VQE,standard VQE over test points,nonlinear meta-VQE evaluation cost,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R102,EIRR102,BP102,"As the qubit count increases, the efficiency of our method remains obvious with a minimal increase in time even for 1025 qubits where it takes 8.68 seconds, while QAIM exceeds 5 hours.",Paper-local location: Local text character 25327,compilation time,Coqa/proposed method,QAIM,1025-qubit QAOA compilation,,,,,,,,,,,,
R103,EIRR103,BP038,Qiskit and Pytket pipelines showed the best overall performance.,Paper-local location: worksheet Stage 3 accepted claim,overall compression performance,Qiskit and Pytket,Cirq and PyZX competitors,random low-CX-density circuit compression,,,,,,,,,,,,
R104,EIRR104,BP095,The importance of these results is accentuated by the fact that the depths of the circuits employed by Eclipse Qrisp’s QAOA are significantly better than Qiskit-Library QAOA and ad-hoc QAOA .,Paper-local location: Local text character 11402,circuit depth,Eclipse Qrisp QAOA,Qiskit-Library QAOA and ad-hoc QAOA,QAOA implementation comparison,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R105,EIRR105,BP038,"Interestingly, PyZXPl and ChemPassPl demonstrated a similar compression performance for UCCSD circuits, see Fig. 14 (ﬁrst column).",Paper-local location: worksheet Stage 3 accepted claim,compression performance,PyZXPl,ChemPassPl,UCCSD structured circuit compression,,,,,,,,,,,,
R106,EIRR106,BP093,"We show results of LR-QAOA on multiple QPUs (IonQ, Quantinuum, IBM) with up to Nq = 109 qubits, p = 100, and circuits requiring 21,200 CNOT gates.",Paper-local location: QPU results,qubits_layers_and_cnot_count,LR-QAOA on QPUs,smaller prior QPU runs,LR-QAOA hardware execution,,,,,,,,,,,,
R107,EIRR107,BP038,Transpile (Qiskit) and DefaultMapping (Pytket) demonstrate approximately matching performance with a slight edge by Pytket.,Paper-local location: worksheet Stage 3 accepted claim,routing/mapping overhead,Pytket DefaultMapping,Qiskit Transpile,routing/mapping on real-device coupling graphs,,,,,,,,,,,,
R108,EIRR108,BP060,"Experimental results on both IBM QX5 and IBM QX20 show that ISAAQ outperforms the heuristic methods available in Qiskit and tket, as well as an existing QUBO method, requiring fewer physical CNOT gates for most benchmark circuits.","Paper-local location: Page 1, One of the most critical steps in quantum circuit compilation is qubit routing, an NP-Hard problem, character 1660",physical CNOT gate count,ISAAQ,Qiskit/tket heuristic methods and existing QUBO method,qubit routing compilation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R109,EIRR109,BP107,"The results indicate that choosing the best spanning tree energy ˜Cbest (best, p = 1) yields a significantly higher approximation ratio than taking the mean ˜Cmean (mean, p = 1).","Paper-local location: Page 6, Figure 2 shows the results for the approximation ratio,, character 26370",approximation ratio,Cbest objective,Cmean objective,Parity QAOA objective selection,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R110,EIRR110,BP038,"In contrast, the compilation pipeline based on PyZX module was not able to achieve optimal compression of twoqubit circuits and showed a large gap to optimality.",Paper-local location: worksheet Stage 3 accepted claim,distance to optimal compression,PyZX pipeline,KAK optimal bound,two-qubit KAK benchmark compression,,,,,,,,,,,,
R111,EIRR111,BP056,"Note that for several of the distributions there are overlapping minimum energies. p = 1 p = 2 p = 1 with DDD p = 2 with DDD p = 1 (no DDD) better than - - 10/10 5/10 4/10 p = 2 (no DDD) better than - 0/10 - 2/10 0/10 p = 1 (with DDD) better than - 5/10 8/10 - 4/10 p = 2 (with DDD) better than - 6/10 10/10 6/10 - Table 2: How the four diﬀerent QAOA implementations, one and two rounds with and without DDD, compare against each other in terms of in how many of the 10 random instances each method was better than the other three methods in terms of mean objective function value across the 10000 samples (for the best angle combination).",Paper-local location: DDD comparison table,mean_objective_function_value,QAOA with DDD,QAOA without DDD,higher-order Ising QAOA,,,,,,,,,,,,
R112,EIRR112,BP108,This clearly shows that DCQAOA(NC) is more robust compared to QAOA.,"Paper-local location: Page 6, DC-QAOA(NC), character 27342",robustness/fidelity under noise,DC-QAOA(NC),QAOA,noisy SK/MaxCut optimization,,,,,,,,,,,,
R113,EIRR113,BP050,"We measured our optimized Toﬀoli gate, the canonical Toﬀoli gate, and the IBM Qiskit-compiled Toﬀoli gate average gate ﬁdelities to be 0 .864 ± 0.00166, 0.834 ± 0.00153, and 0 .828 ± 0.00166, respectively.","Paper-local location: Page 9, 3.3 Benchmarking, character 28628",average gate fidelity,optimized Toffoli gate,canonical and IBM Qiskit-compiled Toffoli gates,Toffoli gate implementation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R114,EIRR114,BP038,"Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit) outperforms DefaultMapping (Pytket) for densely connected graphs with node degrees k ≳ 8.",Paper-local location: worksheet Stage 3 accepted claim,CX depth overhead,Qiskit Transpile,Pytket DefaultMapping,routing/mapping on densely connected random k-regular graphs,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R115,EIRR115,BP032,"In total, the simplest circuit representation of exp(−iγH1) in QAOA requires 40 two-qubit gates, a depth which will prove signiﬁcantly better than the other encodings even without further optimization.",Paper-local location: local text scout; exact sentence span in paper_texts,two-qubit gate count / circuit depth,higher-order encoding,other encodings,four-corners map coloring QAOA encoding,,,,,,,,,,,,
R116,EIRR116,BP069,"The goal of this framework is to enable further research, however, during development we already observed that for the scheduling task even a vanilla PPO agent can learn policies which can outperform the standard priority-based ALAP approach.",Paper-local location: worksheet Stage 3 accepted claim,schedule quality / schedule length,vanilla PPO agent trained in qgym scheduling environment,standard priority-based ALAP approach,quantum circuit scheduling with commutation-aware compilation,,,,,,,,,,,,
R117,EIRR117,BP036,"Again we outperform the best algorithm in the literature even for small input circuits with more than 50% of savings when the input circuit is of size 100-300 gates, with a maximum saving of 60% for approximately 200 gates.",Paper-local location: Benchmark results,cnot_count_savings,syndrome-decoding synthesis algorithm,best literature algorithm,CNOT circuit synthesis,,,,,,,,,,,,
R118,EIRR118,BP010,"In all cases, the metaVQE is able to learn the shape of the energy functional and, in some cases, resulted in improved accuracy in comparison to individual VQE optimization.",Paper-local location: local text scout; exact sentence span in paper_texts,accuracy,meta-VQE,individual VQE optimization,meta-VQE phase-diagram learning,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R119,EIRR119,BP044,"Therefore, QRewriting is about three tim es faster than PaF, and the resulting circuits are better optimized.",Paper-local location: Evaluation,rewriting_runtime,QRewriting,PaF,quantum circuit rewriting,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R120,EIRR120,BP068,"Number of Gates and Cnot Upon the examination of Table II and III, it is clear that, despite having similar approximation ratios, there is a signi ﬁcant difference between Adaptative VQAs and QAOA in terms of the number of gates and cnot gates in the best circuit found.","Paper-local location: Results, Number of Gates and Cnot",gate_and_cnot_count,adaptive VQAs,QAOA,QUBO instances,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
